aten_op,sharding_path,decomp_detail,num_opinfos,opinfo_names,replicate_ok_count,replicate_fail_count,replicate_fail_errors
aten._adaptive_avg_pool2d.default,decomp,explicit,3,nn.functional.adaptive_avg_pool1d; nn.functional.adaptive_avg_pool2d; nn.functional.interpolate(area),0,3,nn.functional.adaptive_avg_pool1d: Operator aten._adaptive_avg_pool2d.default does not have a sharding strategy registered.; nn.functional.adaptive_avg_pool2d: Operator aten._adaptive_avg_pool2d.default does not have a sharding strategy registered.; nn.functional.interpolate(area): Operator aten._adaptive_avg_pool2d.default does not have a sharding strategy registered.
aten._adaptive_avg_pool3d.default,,,2,nn.functional.adaptive_avg_pool3d; nn.functional.interpolate(area),0,2,nn.functional.adaptive_avg_pool3d: Operator aten._adaptive_avg_pool3d.default does not have a sharding strategy registered.; nn.functional.interpolate(area): Operator aten._adaptive_avg_pool3d.default does not have a sharding strategy registered.
aten._batch_norm_with_update.default,decomp,explicit,1,_batch_norm_with_update,0,1,_batch_norm_with_update: Operator aten._batch_norm_with_update.default does not have a sharding strategy registered.
aten._cdist_forward.default,,,1,cdist,0,1,cdist: Operator aten._cdist_forward.default does not have a sharding strategy registered.
aten._conj.default,single_dim,,7,fft.hfft; fft.hfft2; fft.hfftn; fft.ifft; fft.ihfft; fft.ihfft2; fft.ihfftn,7,0,
aten._conj_physical.default,,,2,fft.ihfft2; fft.ihfftn,0,2,fft.ihfft2: Operator aten._conj_physical.default does not have a sharding strategy registered.; fft.ihfftn: Operator aten._conj_physical.default does not have a sharding strategy registered.
aten._ctc_loss.Tensor,,,1,nn.functional.ctc_loss,0,1,nn.functional.ctc_loss: aten._ctc_loss.Tensor
aten._ctc_loss.default,,,1,nn.functional.ctc_loss,0,1,nn.functional.ctc_loss: aten._ctc_loss.default
aten._embedding_bag_forward_only.default,,,1,nn.functional.embedding_bag,0,1,nn.functional.embedding_bag: Operator aten._embedding_bag_forward_only.default does not have a sharding strategy registered.
aten._euclidean_dist.default,decomp,explicit,1,cdist,1,0,
aten._fft_c2c.default,single_dim,,8,fft.fft2; fft.fftn; fft.hfft2; fft.hfftn; fft.ifft2; fft.ifftn; fft.ihfft2; fft.ihfftn,6,2,fft.ihfft2: Operator aten._conj_physical.default does not have a sharding strategy registered.; fft.ihfftn: Operator aten._conj_physical.default does not have a sharding strategy registered.
aten._fft_c2r.default,single_dim,,6,fft.hfft; fft.hfft2; fft.hfftn; fft.irfft; fft.irfft2; fft.irfftn,6,0,
