aten op                                                 sharding     decomp_detail   #opinfos   repl_ok    repl_fail  opinfo_names
----------------------------------------------------------------------------------------------------------------------------------
aten._adaptive_avg_pool2d.default                       decomp       explicit        3          0          3          nn.functional.adaptive_avg_pool1d, nn.functional.adaptive_avg_pool2d, nn.functional.interpolate(area)
aten._adaptive_avg_pool3d.default                       -            -               2          0          2          nn.functional.adaptive_avg_pool3d, nn.functional.interpolate(area)
aten._batch_norm_with_update.default                    decomp       explicit        1          0          1          _batch_norm_with_update
aten._cdist_forward.default                             -            -               1          0          1          cdist
aten._conj.default                                      single_dim   -               7          7          0          fft.hfft, fft.hfft2, fft.hfftn, fft.ifft, fft.ihfft, fft.ihfft2, fft.ihfftn
aten._conj_physical.default                             -            -               2          0          2          fft.ihfft2, fft.ihfftn
aten._ctc_loss.Tensor                                   -            -               1          0          1          nn.functional.ctc_loss
aten._ctc_loss.default                                  -            -               1          0          1          nn.functional.ctc_loss
aten._embedding_bag_forward_only.default                -            -               1          0          1          nn.functional.embedding_bag
aten._euclidean_dist.default                            decomp       explicit        1          1          0          cdist
aten._fft_c2c.default                                   single_dim   -               8          6          2          fft.fft2, fft.fftn, fft.hfft2, fft.hfftn, fft.ifft2, fft.ifftn, fft.ihfft2, fft.ihfftn
aten._fft_c2r.default                                   single_dim   -               6          6          0          fft.hfft, fft.hfft2, fft.hfftn, fft.irfft, fft.irfft2, fft.irfftn
aten._fft_r2c.default                                   single_dim   -               9          8          3          fft.fft, fft.ifft, fft.ihfft, fft.ihfft2, fft.ihfftn, fft.rfft, fft.rfft2, fft.rfftn, stft
aten._histogramdd_bin_edges.default                     -            -               1          0          1          histogramdd
aten._histogramdd_from_bin_cts.default                  -            -               1          0          1          histogramdd
aten._histogramdd_from_bin_tensors.default              -            -               1          0          1          histogramdd
aten._linalg_check_errors.default                       -            -               8          0          8          linalg.cholesky, linalg.inv, linalg.ldl_factor, linalg.lu_factor, linalg.matrix_power, linalg.solve, linalg.tensorinv, linalg.tensorsolve
aten._linalg_det.default                                -            -               1          0          1          linalg.det
aten._linalg_eigh.default                               op_strategy  -               3          3          0          linalg.eigh, linalg.eigvalsh, linalg.matrix_rank(hermitian)
aten._linalg_slogdet.default                            -            -               2          0          2          linalg.slogdet, logdet
aten._linalg_solve_ex.default                           -            -               3          0          3          linalg.solve, linalg.solve_ex, linalg.tensorsolve
aten._linalg_svd.default                                op_strategy  -               11         9          2          linalg.cond, linalg.matrix_norm, linalg.matrix_rank, linalg.norm, linalg.norm(subgradients_at_zero), linalg.svd, linalg.svdvals, norm(nuc), pca_lowrank, svd, svd_lowrank
aten._local_scalar_dense.default                        op_strategy  -               4          4          0          item, narrow, nn.functional.gaussian_nll_loss, tensor_split
aten._log_softmax.default                               op_strategy  explicit        4          4          0          log_softmax, log_softmax(with_dtype), masked.log_softmax, nn.functional.cross_entropy
aten._native_batch_norm_legit.default                   decomp       explicit        1          1          1          _native_batch_norm_legit
aten._native_batch_norm_legit.no_stats                  decomp       explicit        1          0          1          _native_batch_norm_legit
aten._pdist_forward.default                             -            -               1          0          1          nn.functional.pdist
aten._prelu_kernel.default                              decomp       explicit        1          1          0          nn.functional.prelu
aten._safe_softmax.default                              op_strategy  explicit        2          2          1          nn.functional.scaled_dot_product_attention, torch.ops.aten._safe_softmax.default
aten._scaled_dot_product_flash_attention_for_cpu.default decomp       explicit        1          1          1          nn.functional.scaled_dot_product_attention
aten._scaled_mm.default                                 op_strategy  -               1          0          1          torch._scaled_mm
aten._softmax.default                                   op_strategy  explicit        7          7          0          masked.softmax, masked.softmin, nn.functional.multi_head_attention_forward, nn.functional.softmin, nn.functional.softmin(with_dtype), softmax, softmax(with_dtype)
aten._softmax_backward_data.default                     op_strategy  explicit        1          1          0          _softmax_backward_data
aten._sparse_mm_reduce_impl.default                     -            -               1          0          1          sparse.mm(reduce)
aten._to_copy.default                                   op_strategy  explicit        34         34         0          bfloat16, bool, byte, cdouble, cfloat, chalf, char, double, fft.fft2, fft.fftn, fft.hfft, fft.hfft2, fft.hfftn, fft.ifft2, fft.ifftn, fft.irfft, fft.irfft2, fft.irfftn, float, float_power, half, int, log_softmax(with_dtype), long, masked.argmax, masked.argmin, masked.std, masked.var, nanquantile, nn.functional.softmin(with_dtype), quantile, short, softmax(with_dtype), to
aten._to_sparse.default                                 -            -               1          0          1          to_sparse
aten._to_sparse.sparse_dim                              -            -               1          0          1          to_sparse
aten._trilinear.default                                 -            -               1          0          1          nn.functional.bilinear
aten._unique2.default                                   -            -               1          0          1          unique
aten._unsafe_masked_index.default                       decomp       explicit        1          0          1          _unsafe_masked_index
aten._unsafe_masked_index_put_accumulate.default        decomp       explicit        1          0          1          _unsafe_masked_index_put_accumulate
aten._unsafe_view.default                               op_strategy  explicit        11         7          5          __rmatmul__, cartesian_prod, kron, linalg.matrix_power, linalg.pinv(singular), linalg.tensorsolve, matmul, nn.functional.linear, nn.functional.scaled_dot_product_attention, pca_lowrank, svd_lowrank
aten._upsample_bilinear2d_aa.default                    -            -               1          0          1          _upsample_bilinear2d_aa
aten._upsample_nearest_exact1d.default                  decomp       explicit+cia    1          0          1          nn.functional.interpolate(nearest-exact)
aten._upsample_nearest_exact2d.default                  decomp       explicit+cia    1          0          1          nn.functional.interpolate(nearest-exact)
aten._upsample_nearest_exact3d.default                  decomp       explicit+cia    1          0          1          nn.functional.interpolate(nearest-exact)
aten.abs.default                                        single_dim   explicit        7          7          0          abs, isclose, isfinite, linalg.matrix_rank(hermitian), nn.functional.l1_loss, nn.functional.smooth_l1_loss, nn.functional.softsign
aten.acos.default                                       single_dim   explicit        1          1          0          acos
aten.acosh.default                                      single_dim   explicit        1          1          0          acosh
aten.adaptive_max_pool2d.default                        -            -               2          0          2          nn.functional.adaptive_max_pool1d, nn.functional.adaptive_max_pool2d
aten.adaptive_max_pool3d.default                        -            -               1          0          1          nn.functional.adaptive_max_pool3d
aten.add.Scalar                                         single_dim   explicit        10         10         0          isclose, nn.functional.alpha_dropout, nn.functional.cosine_embedding_loss, nn.functional.feature_alpha_dropout(with_train), nn.functional.margin_ranking_loss, nn.functional.pairwise_distance, nn.functional.poisson_nll_loss, nn.functional.triplet_margin_loss, nn.functional.triplet_margin_with_distance_loss, special.ndtr
aten.add.Tensor                                         single_dim   explicit        16         13         3          __radd__, add, cumulative_trapezoid, gradient, nn.functional.bilinear, nn.functional.cosine_embedding_loss, nn.functional.gaussian_nll_loss, nn.functional.hinge_embedding_loss, nn.functional.local_response_norm, nn.functional.multilabel_soft_margin_loss, nn.functional.poisson_nll_loss, nn.functional.scaled_dot_product_attention, nn.functional.softsign, nn.functional.triplet_margin_with_distance_loss, trapezoid, trapz
aten.add_.Scalar                                        single_dim   explicit        3          3          0          nn.functional.alpha_dropout, nn.functional.feature_alpha_dropout(with_train), nn.functional.rms_norm
aten.add_.Tensor                                        single_dim   explicit        4          4          0          nn.functional.alpha_dropout, nn.functional.feature_alpha_dropout(with_train), nn.functional.gaussian_nll_loss, nn.functional.poisson_nll_loss
aten.addbmm.default                                     -            -               1          0          1          addbmm
aten.addcdiv.default                                    single_dim   explicit        1          1          0          addcdiv
aten.addcmul.default                                    single_dim   explicit        1          1          0          addcmul
aten.addmm.default                                      single_dim   explicit        4          4          0          addmm, addmm(decomposed), nn.functional.linear, nn.functional.multi_head_attention_forward
aten.addmv.default                                      decomp       explicit        1          1          0          addmv
aten.addr.default                                       decomp       explicit        1          1          0          addr
aten.alias.default                                      op_strategy  explicit        1          0          1          nn.functional.instance_norm
aten.alias_copy.default                                 decomp       explicit        1          1          0          alias_copy
aten.all.default                                        op_strategy  explicit        3          3          0          all, nanquantile, quantile
aten.all.dim                                            op_strategy  explicit        1          1          0          all
aten.all.dims                                           decomp       explicit        1          1          0          all
aten.allclose.default                                   -            -               1          0          1          allclose
aten.amax.default                                       op_strategy  explicit        6          6          0          amax, linalg.matrix_norm, linalg.matrix_rank(hermitian), linalg.norm, linalg.norm(subgradients_at_zero), masked.amax
aten.amin.default                                       op_strategy  explicit        5          5          0          amin, linalg.matrix_norm, linalg.norm, linalg.norm(subgradients_at_zero), masked.amin
aten.aminmax.default                                    decomp       explicit        1          1          0          aminmax
aten.angle.default                                      single_dim   -               1          1          0          angle
aten.any.default                                        op_strategy  explicit        2          2          0          any, nn.functional.gaussian_nll_loss
aten.any.dim                                            op_strategy  explicit        2          2          0          any, quantile
aten.any.dims                                           op_strategy  explicit        1          1          0          any
aten.arange.default                                     decomp       explicit        1          0          1          combinations
aten.arange.start_step                                  decomp       explicit        1          0          1          nn.functional.embedding_bag
aten.argmax.default                                     op_strategy  -               2          2          0          argmax, masked.argmax
aten.argmin.default                                     op_strategy  -               2          2          0          argmin, masked.argmin
aten.as_strided.default                                 -            -               3          1          2          as_strided, as_strided(partial_views), stft
aten.as_strided_copy.default                            decomp       explicit        1          0          1          as_strided_copy
aten.as_strided_scatter.default                         decomp       explicit        1          0          1          as_strided_scatter
aten.asin.default                                       single_dim   explicit        1          1          0          asin
aten.asinh.default                                      single_dim   explicit        1          1          0          asinh
aten.atan.default                                       single_dim   explicit        1          1          0          atan
aten.atan2.default                                      single_dim   explicit        1          1          0          atan2
aten.atanh.default                                      single_dim   explicit        1          1          0          atanh
aten.avg_pool2d.default                                 -            -               3          0          3          nn.functional.avg_pool1d, nn.functional.avg_pool2d, nn.functional.local_response_norm
aten.avg_pool3d.default                                 -            -               1          0          1          nn.functional.avg_pool3d
aten.baddbmm.default                                    single_dim   explicit        2          2          1          baddbmm, nn.functional.multi_head_attention_forward
aten.bernoulli.default                                  op_strategy  explicit        1          1          0          bernoulli
aten.bernoulli_.float                                   op_strategy  -               7          7          1          nn.functional.alpha_dropout, nn.functional.dropout, nn.functional.dropout2d, nn.functional.dropout3d, nn.functional.feature_alpha_dropout(with_train), nn.functional.multi_head_attention_forward, nn.functional.scaled_dot_product_attention
aten.binary_cross_entropy.default                       decomp       explicit        1          1          0          nn.functional.binary_cross_entropy
aten.binary_cross_entropy_with_logits.default           decomp       explicit        1          1          0          nn.functional.binary_cross_entropy_with_logits
aten.bitwise_and.Tensor                                 single_dim   explicit        1          1          0          isclose
aten.bitwise_and_.Tensor                                single_dim   explicit        1          1          0          isclose
aten.bitwise_or_.Tensor                                 single_dim   explicit        1          1          0          isclose
aten.block_diag.default                                 decomp       explicit        1          0          1          block_diag
aten.bmm.default                                        single_dim   -               9          6          4          __rmatmul__, bmm, linalg.matrix_power, linalg.pinv(singular), matmul, nn.functional.multi_head_attention_forward, nn.functional.scaled_dot_product_attention, pca_lowrank, svd_lowrank
aten.bucketize.Tensor                                   single_dim   explicit        1          1          0          bucketize
aten.cat.default                                        op_strategy  explicit        4          3          1          diff, gradient, linalg.vander, nn.functional.multi_head_attention_forward
aten.cauchy_.default                                    decomp       explicit        1          1          0          cauchy
aten.ceil.default                                       single_dim   explicit        1          1          0          ceil
aten.ceil_.default                                      single_dim   explicit        2          2          0          nanquantile, quantile
aten.celu.default                                       decomp       explicit        1          1          0          nn.functional.celu
aten.channel_shuffle.default                            decomp       explicit        1          1          0          nn.functional.channel_shuffle
aten.cholesky.default                                   -            -               1          0          1          cholesky
aten.cholesky_inverse.default                           -            -               1          0          1          cholesky_inverse
aten.cholesky_solve.default                             -            -               1          0          1          cholesky_solve
aten.clamp.Tensor                                       single_dim   explicit        1          1          0          clamp
aten.clamp.default                                      single_dim   explicit        1          1          0          corrcoef
aten.clamp_.default                                     single_dim   explicit        1          1          0          nn.functional.gaussian_nll_loss
aten.clamp_max.Tensor                                   single_dim   explicit        1          1          0          clamp_max
aten.clamp_min.Tensor                                   single_dim   explicit        1          1          0          clamp_min
