aten_op,failed,has_sharding,has_decomp,fully_coverable,decomp_ops,blocking_ops,blocking_reasons,is_constructor
aten._adaptive_avg_pool2d.default,False,False,True,False,aten.add.Tensor;aten.arange.default;aten.div.Tensor;aten.div.Tensor_mode;aten.ge.Tensor;aten.index.Tensor;aten.masked_fill.Scalar;aten.minimum.default;aten.mul.Tensor;aten.scalar_tensor.default;aten.select.int;aten.sub.Tensor;aten.unsqueeze.default,aten.arange.default;aten.scalar_tensor.default,aten.arange.default:decomp_but_untraced;aten.scalar_tensor.default:no_decomp,False
aten._adaptive_avg_pool3d.default,False,False,False,False,,,,False
aten._batch_norm_with_update.default,False,False,True,False,aten.add.Tensor;aten.copy_.default;aten.empty.memory_format;aten.mul.Tensor;aten.rsqrt.default;aten.squeeze.dims;aten.sub.Tensor;aten.unsqueeze.default;aten.var_mean.correction,aten.empty.memory_format;aten.squeeze.dims;aten.var_mean.correction,aten.var_mean.correction:blocked_by_3_ops;aten.empty.memory_format:no_decomp;aten.squeeze.dims:blocked_by_1_ops,False
aten._cdist_forward.default,False,False,False,False,,,,False
aten._chunk_cat.default,False,False,True,False,,,,False
aten._conj.default,False,True,False,True,,,,False
aten._embedding_bag_forward_only.default,False,False,False,False,,,,False
aten._fft_c2c.default,False,False,False,False,,,,False
aten._fft_c2r.default,False,False,False,False,,,,False
aten._fft_r2c.default,False,False,False,False,,,,False
aten._histogramdd_from_bin_cts.default,False,False,False,False,,,,False
aten._linalg_det.default,False,False,False,False,,,,False
aten._linalg_slogdet.default,False,False,False,False,,,,False
aten._linalg_svd.default,False,True,False,True,,,,False
aten._local_scalar_dense.default,False,True,False,True,,,,False
aten._log_softmax.default,False,True,True,True,,,,False
aten._native_batch_norm_legit.default,False,False,True,False,aten.add.Tensor;aten.copy_.default;aten.mul.Tensor;aten.rsqrt.default;aten.squeeze.dims;aten.sub.Tensor;aten.unsqueeze.default;aten.var_mean.correction,aten.squeeze.dims;aten.var_mean.correction,aten.var_mean.correction:blocked_by_3_ops;aten.squeeze.dims:blocked_by_1_ops,False
aten._pdist_forward.default,False,False,False,False,,,,False
aten._prelu_kernel.default,False,False,True,True,aten.gt.Scalar;aten.mul.Tensor;aten.where.self,,,False
aten._safe_softmax.default,False,True,True,True,,,,False
aten._scaled_mm.default,False,True,False,True,,,,False
aten._softmax_backward_data.default,False,True,True,True,,,,False
aten._softmax.default,False,True,True,True,,,,False
aten._to_copy.default,False,True,True,True,,,,False
aten._unique2.default,False,False,False,False,,,,False
aten._unsafe_masked_index_put_accumulate.default,False,False,True,False,,,,False
aten._unsafe_masked_index.default,False,False,True,False,,,,False
aten._unsafe_view.default,False,True,True,True,,,,False
aten._upsample_bilinear2d_aa.default,False,False,False,False,,,,False
aten._upsample_nearest_exact1d.default,False,False,True,False,aten._to_copy.default;aten._unsafe_index.Tensor;aten.add.Tensor;aten.arange.default;aten.mul.Tensor,aten._unsafe_index.Tensor;aten.arange.default,aten._unsafe_index.Tensor:decomp_but_untraced;aten.arange.default:decomp_but_untraced,False
aten.abs.default,False,True,True,True,,,,False
aten.acos.default,False,True,True,True,,,,False
aten.acosh.default,False,True,True,True,,,,False
aten.adaptive_max_pool2d.default,False,False,False,False,,,,False
aten.adaptive_max_pool3d.default,False,False,False,False,,,,False
aten.add_.Tensor,False,True,True,True,,,,False
aten.add.Tensor,False,True,True,True,,,,False
aten.addbmm.default,False,False,False,False,,,,False
aten.addcdiv.default,False,True,True,True,,,,False
aten.addcmul.default,False,True,True,True,,,,False
aten.addmm.default,False,True,True,True,,,,False
aten.addmv.default,False,False,True,True,aten.add.Tensor;aten.mul.Tensor;aten.mv.default,,,False
aten.addr.default,False,False,True,True,aten.add.Tensor;aten.expand.default;aten.mul.Tensor;aten.view.default,,,False
aten.alias_copy.default,False,False,True,True,aten.alias.default;aten.clone.default,,,False
aten.all.default,False,True,True,True,,,,False
aten.allclose.default,False,False,False,False,,,,False
aten.amax.default,False,True,True,True,,,,False
aten.amin.default,False,True,True,True,,,,False
aten.aminmax.default,False,False,True,True,aten.amax.default;aten.amin.default,,,False
aten.angle.default,False,True,False,True,,,,False
aten.any.default,False,True,True,True,,,,False
aten.arange.start_step,False,False,True,False,prims.iota.default,prims.iota.default,prims.iota.default:no_decomp,True
aten.argmax.default,False,True,False,True,,,,False
aten.argmin.default,False,True,False,True,,,,False
aten.as_strided_copy.default,False,False,True,False,aten.as_strided.default;aten.clone.default,aten.as_strided.default,aten.as_strided.default:no_decomp,False
aten.as_strided_scatter.default,False,False,True,False,prims.as_strided_scatter.default,prims.as_strided_scatter.default,prims.as_strided_scatter.default:no_decomp,False
aten.as_strided.default,False,False,False,False,,,,False
aten.asin.default,False,True,True,True,,,,False
aten.asinh.default,False,True,True,True,,,,False
aten.atan.default,False,True,True,True,,,,False
aten.atan2.default,False,True,True,True,,,,False
aten.atanh.default,False,True,True,True,,,,False
aten.avg_pool2d.default,False,False,False,False,,,,False
aten.avg_pool3d.default,False,False,False,False,,,,False
aten.baddbmm.default,False,True,True,True,,,,False
aten.bernoulli.default,False,True,True,True,,,,False
aten.binary_cross_entropy_with_logits.default,False,False,True,True,aten.log_sigmoid_forward.default;aten.mean.default;aten.mul.Tensor;aten.rsub.Scalar;aten.sub.Tensor,,,False
