dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,get_fake_value,create_proxy,wrap_to_fake_tensor_and_record,variable_builder_call,compile_attempt_1,build_guards,gc,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,PyCodeCache.load_by_key_path,async_compile.precompile,async_compile.wait,TritonBundler.collect,cudagraphify.get_container,CachingAutotuner.benchmark_all_configs,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile,compile_attempt_2,CUDAGraphNode.record
cuda,MobileBertForMaskedLM,128,30.522962,29.275176,4.165034,1.467668,0.232296,0.375655,1.129000,0.086066,24.853908,0.120728,0.119220,0.019262,0.000033,0.003111,0.000023,22.091758,2.068666,13.453311,1.540521,0.042343,0.072107,1.197236,0.000359,11.908953,11.873656,0.989454,2.698372,0.008047,0.000583,0.000040,0.005246,0.000021,0.000010,0.061647,1.231181,0.005616,0.008817,0.170284,0.000100,0.004979,0.000045,0.000027,2.888996,3.337675,3.337621,3.002680,0.670512,0.109323,2.287532,0.196215,0.332686,0.268704,0.002845,0.006006,1.221284,0.000327,0.094430,0.724721,0.024506,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,29.600419,29.157288,4.098505,1.454601,0.231195,0.370974,1.115811,0.083926,24.806108,0.118376,0.116257,0.021089,0.000047,0.003306,0.000041,22.045269,2.072596,13.405647,1.702931,0.042718,0.072167,1.356989,0.000359,11.698980,11.663374,0.981132,2.524198,0.007894,0.000539,0.000034,0.005149,0.000021,0.000010,0.060794,1.177600,0.005891,0.009283,0.161889,0.000096,0.004912,0.000041,0.000027,2.848488,3.314993,3.314941,2.975509,0.671865,0.108818,2.260908,0.195294,0.337213,0.275656,0.002658,0.006325,0.416475,0.000183,0.006585,0.680796,0.800545,0,0,0,0,0,0
cuda,DistilBertForMaskedLM,128,5.530146,5.456050,0.649366,0.271608,0.026516,0.064172,0.171346,0.011646,4.773821,0.118543,0.116746,0.005572,0.000028,0.000453,0.000020,4.112386,0.213415,2.920723,0.466710,0.003988,0.030641,0.279719,0.001272,2.453425,2.448606,0.195641,0.266153,0.001398,0.000118,0.000039,0.000669,0.000018,0.000010,0.025361,0.083111,0.000813,0.001348,0.021337,0.000099,0.000881,0.000041,0.000028,0.416214,1.327010,1.326961,0.742787,0.206685,0.053808,0.529417,0.027313,0.583265,0.573221,0.003985,0.003389,0.069802,0.000556,0.006383,0.284226,0.003536,0,0,0,0,0,0
cuda,DistilBertForMaskedLM,128,5.297795,5.224361,0.646302,0.288208,0.026157,0.058652,0.159048,0.009798,4.548985,0.114667,0.113207,0.005057,0.000030,0.000417,0.000020,3.937630,0.324635,2.737881,0.380810,0.004319,0.028431,0.203169,0.001257,2.356534,2.351929,0.252172,0.260911,0.001349,0.000105,0.000031,0.000559,0.000017,0.000009,0.026118,0.080694,0.000800,0.001254,0.020698,0.000072,0.000795,0.000033,0.000027,0.345259,1.257963,1.257922,0.792259,0.221079,0.066883,0.564682,0.028457,0.464830,0.200940,0.004076,0.002529,0.069824,0.000078,0.006478,0.112135,0.003299,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,28.317915,27.877074,3.930191,1.429210,0.228235,0.361930,1.094453,0.083102,23.697975,0.113331,0.111783,0.019518,0.000030,0.003086,0.000028,21.136375,2.015347,12.803834,1.572163,0.042281,0.073454,1.231119,0.000362,11.228050,11.193897,0.976959,2.525892,0.007916,0.000545,0.000032,0.005064,0.000020,0.000010,0.059969,1.159587,0.005616,0.008434,0.162200,0.000083,0.004942,0.000039,0.000026,2.709731,3.015700,3.015654,2.933160,0.662345,0.105577,2.228236,0.191653,0.080890,0.020336,0.002529,0.006095,0.415487,0.000179,0.005112,1.366950,0.023595,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,31.758095,30.212649,4.421474,1.737874,0.234054,0.376864,1.442448,0.084050,25.524154,0.115114,0.113528,0.018898,0.000032,0.003102,0.000026,22.839721,2.452138,13.575470,1.631895,0.040494,0.071852,1.294512,0.000369,11.940061,11.903900,1.166196,2.791297,0.007905,0.000538,0.000035,0.004900,0.000020,0.000010,0.060524,1.181550,0.005349,0.008630,0.166265,0.000099,0.004915,0.000041,0.000027,2.561618,3.406548,3.406490,3.186998,0.707956,0.113433,2.432528,0.202535,0.216945,0.151266,0.002573,0.006691,1.512089,0.000184,0.007344,0.411440,0.021458,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,28.794586,28.354288,3.930677,1.427160,0.226950,0.361438,1.091902,0.082625,24.173400,0.115294,0.113732,0.018511,0.000033,0.003151,0.000021,21.629331,2.024316,13.302980,1.622861,0.041716,0.071959,1.286089,0.000392,11.676494,11.638664,0.978293,2.544101,0.007936,0.000518,0.000031,0.005106,0.000019,0.000010,0.061199,1.177440,0.005497,0.009295,0.167191,0.000087,0.004944,0.000041,0.000026,2.748222,3.422436,3.422390,3.087137,0.671221,0.105840,2.373268,0.194127,0.333133,0.272307,0.002461,0.006096,0.414567,0.000192,0.004968,1.363268,0.022426,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,8.011109,7.447756,4.188252,1.446296,0.229783,0.591637,1.527878,0.083463,2.910483,0.114954,0.113102,0.019939,0.000140,0.003085,0.000074,0.126776,0.001875,0.000728,0.099639,0.038440,0.036396,0.021710,0.527673,0.000161,0.005418,0.082394,0.020844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,32.834777,31.208098,4.728684,1.747954,0.566910,0.609309,1.386583,0.085571,26.119410,0.119688,0.117656,0.021269,0.000183,0.003247,0.000076,23.177296,2.448803,13.695869,1.616204,0.040159,0.072371,1.274519,0.000457,11.837280,11.801552,1.138128,2.711675,0.007460,0.000623,0.000199,0.005013,0.000079,0.000056,0.061820,1.180480,0.005485,0.008426,0.170112,0.000169,0.004962,0.000101,0.000078,2.555966,3.278352,3.278153,3.196871,0.716723,0.114923,2.433925,0.204670,0.077017,0.016064,0.002897,0.002942,1.590933,0.000588,0.005675,0.082307,0.021089,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,31.430762,30.097272,4.435153,1.488255,0.233990,0.615106,1.695747,0.105448,25.285857,0.118830,0.116923,0.020256,0.000155,0.003163,0.000077,22.401383,2.021658,13.722856,1.573585,0.042081,0.070813,1.235932,0.000450,11.913504,11.878127,0.969444,2.576944,0.007374,0.000630,0.000163,0.005142,0.000080,0.000060,0.060661,1.177073,0.005552,0.008647,0.167237,0.000193,0.005374,0.000124,0.000084,2.916734,3.323886,3.323677,3.238068,0.717126,0.113347,2.477523,0.195993,0.080591,0.021103,0.002732,0.006075,1.306256,0.000316,0.005242,0.572133,0.022580,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,8.309062,7.783912,4.375424,1.473957,0.232415,0.608779,1.670401,0.084326,3.067594,0.118635,0.116728,0.020858,0.000145,0.003257,0.000078,0.128928,0.001909,0.000740,0.104043,0.041192,0.038946,0.023847,0.498451,0.000155,0.007203,0.082242,0.019847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,31.424830,30.180923,4.464358,1.692819,0.451742,0.588402,1.336258,0.080267,25.381135,0.118691,0.117073,0.019968,0.000139,0.003135,0.000078,22.613602,2.410252,13.514006,1.601048,0.040233,0.071781,1.264148,0.000479,11.673251,11.634291,1.138231,2.669559,0.007496,0.000639,0.000155,0.005091,0.000078,0.000071,0.061515,1.159378,0.005634,0.009631,0.169828,0.000161,0.005155,0.000098,0.000080,2.476319,3.226789,3.226604,3.145349,0.707359,0.113218,2.394210,0.195301,0.076719,0.015773,0.002646,0.003019,1.216185,0.000585,0.004690,0.082124,0.019875,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,8.291949,7.771164,4.476738,1.710061,0.439992,0.586974,1.336397,0.081020,2.956393,0.116456,0.114739,0.019528,0.000146,0.003016,0.000075,0.119776,0.001161,0.000420,0.098030,0.035984,0.033578,0.020992,0.494117,0.000199,0.005126,0.082199,0.019653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,7.990717,7.469379,4.218825,1.459622,0.234188,0.597020,1.546351,0.084291,2.907733,0.115397,0.113632,0.019124,0.000130,0.003056,0.000081,0.125476,0.001829,0.000725,0.099840,0.036773,0.034731,0.021065,0.494897,0.000135,0.005366,0.082308,0.020502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,13.000668,12.069894,8.107253,3.419314,0.481078,0.819644,2.205109,0.155388,3.450787,0.162924,0.161034,0.036922,0.000052,0.006162,0.000047,0.122730,0.001217,0.000539,0.104677,0.038821,0.037704,0.023317,0.890744,0.000086,0.005245,0.086116,0.025843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,12.990322,12.008128,8.041456,3.378632,0.479305,0.811258,2.190887,0.155040,3.443940,0.164958,0.163067,0.037544,0.000052,0.006165,0.000051,0.124100,0.001256,0.000551,0.106220,0.040719,0.039636,0.023745,0.931664,0.000114,0.042787,0.086086,0.153061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,12.717609,11.791702,7.736152,2.872359,0.487002,0.933795,2.341561,0.160324,3.536305,0.166461,0.164299,0.038206,0.000056,0.006279,0.000051,0.129953,0.002403,0.001085,0.108876,0.041703,0.040471,0.023322,0.884490,0.000396,0.005569,0.086254,0.026664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,7.651337,7.209779,4.206059,1.679317,0.232555,0.363925,1.313090,0.082525,2.755198,0.117930,0.116523,0.018475,0.000028,0.003152,0.000022,0.109410,0.000856,0.000295,0.097152,0.032217,0.031485,0.019916,0.416304,0.000205,0.004916,0.082074,0.019797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,7.979903,7.502007,4.354137,1.694740,0.231692,0.373558,1.435505,0.084582,2.885666,0.116466,0.114810,0.019485,0.000037,0.003132,0.000025,0.107073,0.000809,0.000324,0.094134,0.034599,0.033714,0.020881,0.443535,0.000309,0.005852,0.081021,0.020229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,7.875433,7.430012,4.324899,1.682050,0.230471,0.369794,1.427472,0.081958,2.856065,0.116017,0.113919,0.018632,0.000031,0.003041,0.000021,0.110654,0.000894,0.000342,0.097367,0.035140,0.034314,0.021741,0.419444,0.000226,0.005024,0.082169,0.023236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
